"About the data: Exported on Oct 26, 2022. Criteria: 'plant pollinator agriculture' in full data; Repository is Frontiers or DRYAD or Public Library of Science or The Royal Society or UC Santa Barbara or NERC Environmental Data Service or Iowa State University or Taylor & Francis Group. © 2022 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,
Rank,Data ID,DOI,Title,Description,Repository,Publication Date,Publication year,Dataset author,Associated publication,Dimensions URL,Source linkout,Fields of Research (ANZSRC 2020),Sustainable Development Goals
260,dataset.8740211,10.1371/journal.pone.0097307.t003,Analysis of response diversity of blueberry pollinators to daily weather conditions.,"Bee counts were square-root transformed. Values reported are result of generalized-linear mixed model with Type III test of fixed effects.aBees were classified into five species groups (Apis, Bombus, Habropoda, ‘small native’, and Xylocopa).bDaily weather conditions were classified as ‘inclement’ or ‘optimal.’",Public Library of Science,2014-05-09,2014,Shelley R. Rogers; David R. Tarpy; Hannah J. Burrack,pub.1034280439,https://app.dimensions.ai/details/data_set/dataset.8740211,https://plos.figshare.com/articles/dataset/_Analysis_of_response_diversity_of_blueberry_pollinators_to_daily_weather_conditions_/1021756,"30 Agricultural, Veterinary and Food Sciences; 31 Biological Sciences; 31 Biological Sciences; 3103 Ecology",
238,dataset.8740223,10.1371/journal.pone.0097307.s001,File S1 - Bee Species Diversity Enhances Productivity and Stability in a Perennial Crop,"Contains Table S1, calculation of economic impact of species group richness for highbush blueberry. Table S2, mean (±SE) pollinator visitation and seed set per location. Table S3, mean (±SE) pollinator visitation and seed set per bloom stage. (DOC)",Public Library of Science,2014-05-09,2014,Shelley R. Rogers; David R. Tarpy; Hannah J. Burrack,pub.1034280439,https://app.dimensions.ai/details/data_set/dataset.8740223,https://plos.figshare.com/articles/dataset/_Bee_Species_Diversity_Enhances_Productivity_and_Stability_in_a_Perennial_Crop_/1021757,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3004 Crop and Pasture Production; 31 Biological Sciences; 31 Biological Sciences; 3103 Ecology",
216,dataset.8666844,10.1371/journal.pone.0123628,Spatial Heterogeneity Regulates Plant-Pollinator Networks across Multiple Landscape Scales,"Mutualistic plant-pollinator interactions play a key role in biodiversity conservation and ecosystem functioning. In a community, the combination of these interactions can generate emergent properties, e.g., robustness and resilience to disturbances such as fluctuations in populations and extinctions. Given that these systems are hierarchical and complex, environmental changes must have multiple levels of influence. In addition, changes in habitat quality and in the landscape structure are important threats to plants, pollinators and their interactions. However, despite the importance of these phenomena for the understanding of biological systems, as well as for conservation and management strategies, few studies have empirically evaluated these effects at the network level. Therefore, the objective of this study was to investigate the influence of local conditions and landscape structure at multiple scales on the characteristics of plant-pollinator networks. This study was conducted in agri-natural lands in Chapada Diamantina, Bahia, Brazil. Pollinators were collected in 27 sampling units distributed orthogonally along a gradient of proportion of agriculture and landscape diversity. The Akaike information criterion was used to select models that best fit the metrics for network characteristics, comparing four hypotheses represented by a set of a priori candidate models with specific combinations of the proportion of agriculture, the average shape of the landscape elements, the diversity of the landscape and the structure of local vegetation. The results indicate that a reduction of habitat quality and landscape heterogeneity can cause species loss and decrease of networks nestedness. These structural changes can reduce robustness and resilience of plant-pollinator networks what compromises the reproductive success of plants, the maintenance of biodiversity and the pollination service stability. We also discuss the possible explanations for these relationships and the implications for landscape planning in agricultural areas.",Public Library of Science,2015-04-09,2015,Eduardo Freitas Moreira; Danilo Boscolo; Blandina Felipe Viana,pub.1041348357,https://app.dimensions.ai/details/data_set/dataset.8666844,https://plos.figshare.com/articles/dataset/_Spatial_Heterogeneity_Regulates_Plant_Pollinator_Networks_across_Multiple_Landscape_Scales_/1372798,"30 Agricultural, Veterinary and Food Sciences; 31 Biological Sciences; 31 Biological Sciences; 3103 Ecology; 41 Environmental Sciences; 41 Environmental Sciences; 4102 Ecological Applications",15 Life on Land
214,dataset.35802037,10.6084/m9.figshare.5849667.v2,"S4 R code from Landscape configurational heterogeneity by small-scale agriculture, not crop diversity, maintains pollinators and plant reproduction in western Europe.",R code for analyses of pollination experiment and pollen transfer experiment,The Royal Society,2018-02-12,2018,Annika L. Hass; Urs G. Kormann; Teja Tscharntke; Yann Clough; Aliette Bosem Baillod; Clélia Sirami; Lenore Fahrig; Jean-Louis Martin; Jacques Baudry; Colette Bertrand; Jordi Bosch; Lluís Brotons; Françoise Burel; Romain Georges; David Giralt; María Á. Marcos-García; Antonio Ricarte; Gavin Siriwardena; Péter Batáry,pub.1101044796,https://app.dimensions.ai/details/data_set/dataset.35802037,https://rs.figshare.com/articles/dataset/S4_R_code_from_Landscape_configurational_heterogeneity_by_small-scale_agriculture_not_crop_diversity_maintains_pollinators_and_plant_reproduction_in_Western_Europe/5849667,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3004 Crop and Pasture Production; 31 Biological Sciences; 31 Biological Sciences; 3108 Plant Biology",
214,dataset.35802034,10.6084/m9.figshare.5849676.v2,"S3 Data from Landscape configurational heterogeneity by small-scale agriculture, not crop diversity, maintains pollinators and plant reproduction in western Europe.",Data for pollination experiment and pollen transfer experiment,The Royal Society,2018-02-12,2018,Annika L. Hass; Urs G. Kormann; Teja Tscharntke; Yann Clough; Aliette Bosem Baillod; Clélia Sirami; Lenore Fahrig; Jean-Louis Martin; Jacques Baudry; Colette Bertrand; Jordi Bosch; Lluís Brotons; Françoise Burel; Romain Georges; David Giralt; María Á. Marcos-García; Antonio Ricarte; Gavin Siriwardena; Péter Batáry,pub.1101044796,https://app.dimensions.ai/details/data_set/dataset.35802034,https://rs.figshare.com/articles/dataset/S3_Data_from_Landscape_configurational_heterogeneity_by_small-scale_agriculture_not_crop_diversity_maintains_pollinators_and_plant_reproduction_in_Western_Europe/5849676,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3004 Crop and Pasture Production; 31 Biological Sciences",
214,dataset.35802021,10.6084/m9.figshare.5849673.v2,"S1 Sample sites from Landscape configurational heterogeneity by small-scale agriculture, not crop diversity, maintains pollinators and plant reproduction in western Europe.","Location of the 229 sampled fields in France, Germany, Spain and UK",The Royal Society,2018-02-12,2018,Annika L. Hass; Urs G. Kormann; Teja Tscharntke; Yann Clough; Aliette Bosem Baillod; Clélia Sirami; Lenore Fahrig; Jean-Louis Martin; Jacques Baudry; Colette Bertrand; Jordi Bosch; Lluís Brotons; Françoise Burel; Romain Georges; David Giralt; María Á. Marcos-García; Antonio Ricarte; Gavin Siriwardena; Péter Batáry,pub.1101044796,https://app.dimensions.ai/details/data_set/dataset.35802021,https://rs.figshare.com/articles/dataset/S1_Sample_sites_from_Landscape_configurational_heterogeneity_by_small-scale_agriculture_not_crop_diversity_maintains_pollinators_and_plant_reproduction_in_Western_Europe/5849673,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3004 Crop and Pasture Production; 31 Biological Sciences; 3103 Ecology",
213,dataset.649189,10.5285/69402002-1676-4de9-a04e-d17e827db93c,Nectar sugar values of common British plant species [AgriLand],"This dataset consists of nectar sugar values of common British plant species. The data were collected during field surveys taking place from February to October in 2011 and 2012. The majority of field sites were located in the south of England. The data were collected under a project named 'Agriland' ( Linking agriculture and land use change to pollinator populations) based at the University of Bristol, as part of the UK Insect Pollinators Initiative. The Insect Pollinators Initiative (IPI) was funded by Biotechnology and Biological Sciences Research Council (BBSRC), Natural Environment Research Council (NERC), Department for Environment, Food and Rural Affairs (Defra), the Scottish Government and the Wellcome Trust, under the auspices of the Living With Environmental Change (LWEC) partnership.",NERC Environmental Data Service,2015-01-01,2015,"Baude, M.; Kunin, W.E.; Memmott, J.; Baude, Mathilde",,https://app.dimensions.ai/details/data_set/dataset.649189,https://catalogue.ceh.ac.uk/id/69402002-1676-4de9-a04e-d17e827db93c,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3004 Crop and Pasture Production; 31 Biological Sciences",
213,dataset.649012,10.5285/6c6d3844-e95a-4f84-a12e-65be4731e934,Flower density values of common British plant species [AgriLand],"This dataset consists of flower density values of common British plant species. The data were collected during field surveys taking place from February to October in 2011 and 2012. The majority of field sites were located in the south of England. The data were collected under a project named 'Agriland' ( Linking agriculture and land use change to pollinator populations) based at the University of Bristol, as part of the UK Insect Pollinators Initiative. The Insect Pollinators Initiative (IPI) was funded by Biotechnology and Biological Sciences Research Council (BBSRC), Natural Environment Research Council (NERC), Department for Environment, Food and Rural Affairs (Defra), the Scottish Government and the Wellcome Trust, under the auspices of the Living With Environmental Change (LWEC) partnership.",NERC Environmental Data Service,2015-01-01,2015,"Baude, M.; Kunin, W.E.; Memmott, J.; Baude, Mathilde",,https://app.dimensions.ai/details/data_set/dataset.649012,https://catalogue.ceh.ac.uk/id/6c6d3844-e95a-4f84-a12e-65be4731e934,"30 Agricultural, Veterinary and Food Sciences; 31 Biological Sciences; 31 Biological Sciences; 3103 Ecology",
208,dataset.5084,10.5061/dryad.640v21f,Data from: Insect pollination is at least as important for marketable crop yield as plant quality in a seed crop,"The sustainability of agriculture can be improved by integrating management of ecosystem services, such as insect pollination, into farming practices. However, large‐scale adoption of ecosystem services‐based practices in agriculture is lacking, possibly because growers undervalue the benefits of ecosystem services compared to those of conventional management practices. Here we show that, under representative real‐world conditions, pollination and plant quality made similar contributions to marketable seed yield of hybrid leek (Allium porrum). Relative to the median, a 25% improvement of plant quality and pollination increased crop value by an estimated $18 007 and $17 174 ha−1 respectively. Across five crop lines, bumblebees delivered most pollination services, while other wild pollinator groups made less frequent but nevertheless substantial contributions. Honeybees actively managed for pollination services did not make significant contributions. Our results show that wild pollinators are an undervalued agricultural input and managing for enhancing pollinators makes sense economically in high‐revenue insect‐pollinated cropping systems.",DRYAD,2019-01-01,2019,"Fijen, Thijs P. M.; Scheper, Jeroen A.; Boom, Timo M.; Janssen, Nicole; Raemakers, Ivo; Kleijn, David",,https://app.dimensions.ai/details/data_set/dataset.5084,http://datadryad.org/stash/dataset/doi:10.5061/dryad.640v21f,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3004 Crop and Pasture Production",2 Zero Hunger
206,dataset.70446,10.5061/dryad.10278,Data from: Functional mismatch in a bumble bee pollination mutualism under climate change,"Ecological partnerships, or mutualisms, are globally widespread, sustaining agriculture and biodiversity. Mutualisms evolve through the matching of functional traits between partners, such as tongue length of pollinators and flower tube depth of plants. Long-tongued pollinators specialize on flowers with deep corolla tubes, whereas shorter-tongued pollinators generalize across tube lengths. Losses of functional guilds because of shifts in global climate may disrupt mutualisms and threaten partner species. We found that in two alpine bumble bee species, decreases in tongue length have evolved over 40 years. Co-occurring flowers have not become shallower, nor are small-flowered plants more prolific. We argue that declining floral resources because of warmer summers have favored generalist foraging, leading to a mismatch between shorter-tongued bees and the longer-tubed plants they once pollinated.",DRYAD,2016-01-01,2016,"Miller-Struttmann, Nicole E.; Geib, Jennifer C.; Franklin, James D.; Kevan, Peter G.; Holdo, Ricardo M.; Ebert-May, Diane; Lynn, Austin M.; Kettenbach, Jessica A.; Hedrick, Elizabeth; Galen, Candace",,https://app.dimensions.ai/details/data_set/dataset.70446,http://datadryad.org/stash/dataset/doi:10.5061/dryad.10278,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3004 Crop and Pasture Production; 31 Biological Sciences; 31 Biological Sciences; 3103 Ecology",
